Sub-Region,Male Voters,Female Voters,Total Voters,Voter Gender Ratio,Total Population,Population Growth Rate (%),Population Density,Population Gender Ratio,Eligible Voter Ratio
KEDATON,19196,19657,38853,97.65,52400,-0.17,13896,100.9,74.14694656
SUKARAME,23913,24623,48536,97.12,67100,0.65,6148,102.2,72.3338301
TANJUNG KARANG BARAT,22329,22631,44960,98.67,63200,0.72,5476,101.9,71.13924051
PANJANG,26859,26298,53157,102.13,74900,0.23,5488,1.041,70.9706275
TANJUNG KARANG TIMUR,14017,14236,28253,98.46,38500,-0.37,18619,104.1,73.38441558
TANJUNG KARANG PUSAT,18343,18276,36619,100.37,50300,-0.71,14379,103.3,72.80119284
TELUK BETUNG SELATAN,14622,14397,29019,101.56,39400,-0.26,11278,102.3,73.65228426
TELUK BETUNG BARAT,18826,13679,32505,137.63,38500,1.22,2100,105.8,84.42857143
TELUK BETUNG UTARA,18333,18382,36715,99.73,50600,0.16,11550,101.7,72.55928854
RAJABASA,19934,20178,40112,98.79,56000,1.73,4328,102.9,71.62857143
TANJUNG SENANG,22285,23015,45300,96.83,62400,1.65,6753,100.7,72.59615385
SUKABUMI,26241,26110,52351,100.50,73200,1.37,2922,103.3,71.51775956
KEMILING,30114,31043,61157,97.01,86300,1.64,4046,101.9,70.86558517
LABUHAN RATU,17214,17783,34997,96.80,48200,0.61,7903,100.8,72.60788382
WAY HALIM,24966,25594,50560,97.55,68500,0.71,10955,100.9,73.81021898
LANGKAPURA,15763,16659,32422,94.62,43400,2.05,8183,102,74.70506912
ENGGAL,9218,9784,19002,94.22,25800,-0.29,9263,98.1,73.65116279
KEDAMAIAN,19478,19479,38957,99.99,53500,0.48,6410,101.8,72.81682243
TELUK BETUNG TIMUR,17994,17329,35323,103.84,49900,0.54,4805,106.3,70.78757515
BUMI WARAS,21484,20497,41981,104.82,58200,-0.31,12869,105.7,72.13230241
NATAR,72360,71714,144074,100.90,198700,1.53,929,103.3,72.50830398
JATI AGUNG,45837,44394,90231,103.25,125000,2.11,760,104.1,72.1848
TANJUNG BINTANG,31271,30810,62081,101.50,87000,2.09,670,102.7,71.35747126
TANJUNG SARI,12291,11952,24243,102.84,33900,1.34,328,104.1,71.51327434
KATIBUNG,26753,25844,52597,103.52,75100,0.97,427,104.3,70.03595206
MERBAU MATARAM,21140,20312,41452,104.08,58500,1.51,513,103.4,70.85811966
WAY SULAN,9299,8809,18108,105.56,25600,1.13,550,106.3,70.734375
SIDOMULYO,24949,24324,49273,102.57,68400,1.62,558,104.2,72.03654971
CANDIPURO,21921,21463,43384,102.13,60300,1.39,712,103.4,71.94693201
WAY PANJI,6896,7011,13907,98.36,18900,1.19,491,99.7,73.58201058
KALIANDA,34999,34666,69665,100.96,98700,0.67,611,103.2,70.58257345
RAJABASA,9344,8895,18239,105.05,25600,0.09,255,106.9,71.24609375
PALAS,22968,22726,45694,101.06,63900,1.21,373,102.4,71.5086072
SRAGI,13368,13196,26564,101.30,36900,0.61,451,102.2,71.98915989
PENENGAHAN,15931,15481,31412,102.91,44200,1.08,333,105.2,71.0678733
KETAPANG,20167,19679,39846,102.48,55700,1.67,513,103.4,71.53680431
BAKAUHENI,8667,8626,17293,100.48,25100,1.01,439,101.7,68.89641434
METRO KIBANG,9411,9190,18601,102.40,24250,1.54,316,104,76.70515464
BATANGHARI,22899,22651,45550,101.09,60038,0.92,403,103,75.86861654
SEKAMPUNG,26143,25594,51737,102.15,67301,1.15,454,104,76.87404348
MARGA TIGA,18951,18452,37403,102.70,50187,1.42,200,104,74.52726802
SEKAMPUNG UDIK,29115,28327,57442,102.78,77051,1.21,227,104,74.55062232
JABUNG,20030,19753,39783,101.40,54851,1.6,205,104,72.52921551
PASIR SAKTI,15434,15118,30552,102.09,43425,2.28,224,104,70.35578584
WAWAY KARYA,16039,15495,31534,103.51,42461,2.04,201,104,74.26579685
MARGA SEKAMPUNG,11085,10899,21984,101.71,29256,1.14,165,104,75.1435603
LABUHAN MARINGGAI,28524,27735,56259,102.84,76849,1.52,394,105,73.20719853
MATARAM BARU,11428,11345,22773,100.73,31547,1.64,397,102,72.18752972
BANDAR SRIBHAWONO,20267,19868,40135,102.01,52505,1.26,283,103,76.44033902
MELINTING,10681,10426,21107,102.45,29858,1.88,214,104,70.69127202
GUNUNG PELINDUNG,8767,8528,17295,102.80,24565,1.5,313,104,70.40504783
WAY JEPARA,21847,21795,43642,100.24,57946,1.23,253,103,75.3149484
BRAJA SELEBAH,9747,9594,19341,101.59,26824,2.06,108,104,72.10334029
LABUHAN RATU,18869,18635,37504,101.26,51979,2.23,107,102,72.15221532
SUKADANA,28559,27908,56467,102.33,74830,1.51,99,105,75.46037685
BUMI AGUNG,7775,7839,15614,99.18,20478,1.86,280,102,76.24768044
BATANGHARI NUBAN,18103,17645,35748,102.60,47712,1.48,264,104,74.92454728
PEKALONGAN,20339,19928,40267,102.06,53015,1.55,529,104,75.95397529
RAMAN UTARA,15778,15459,31237,102.06,41314,1.41,256,104,75.60875248
PURBOLINGGO,17522,17267,34789,101.48,45768,1.27,206,103,76.01162384
WAY BUNGUR,9934,9825,19759,101.11,26330,1.73,70,103,75.04367641
BUKIT KEMUNING,15929,15688,31617,101.54,43600,0.86,267,101.8,72.51605505
ABUNG TINGGI,6782,6655,13437,101.91,18700,1.01,333,105.4,71.85561497
TANJUNG RAJA,12228,11819,24047,103.46,33400,1.12,146,105.4,71.99700599
ABUNG BARAT,7631,7507,15138,101.65,21300,0.96,238,103.7,71.07042254
ABUNG TENGAH,6515,6346,12861,102.66,17900,1.01,228,102.9,71.84916201
ABUNG KUNANG,3686,3615,7301,101.96,10400,0.76,200,101.9,70.20192308
ABUNG PEKURUN,4639,4553,9192,101.89,12900,0.96,80,103,71.25581395
KOTABUMI,20502,20350,40852,100.75,57100,0.9,703,104.4,71.54465849
KOTABUMI UTARA,12793,12705,25498,100.69,35800,1.11,250,102.1,71.22346369
KOTABUMI SELATAN,25026,25862,50888,96.77,71900,0.95,716,101.2,70.77607789
ABUNG SELATAN,19668,19520,39188,100.76,54800,1.2,497,103.6,71.51094891
ABUNG SEMULI,10153,9996,20149,101.57,27100,0.96,269,103.5,74.35055351
BLAMBANGAN PAGAR,7420,7235,14655,102.56,20200,1.01,200,103.6,72.54950495
ABUNG TIMUR,14219,13899,28118,102.30,38200,0.86,199,104.6,73.60732984
